count 162029
16193280 0.002 0.132
16194048 -0.0 0.168
16194816 0.0 0.147
16195584 -0.0 0.157
16196352 0.0 0.152
16197120 -0.0 0.163
16197888 0.001 0.158
16198656 0.0 0.157
16199424 -0.001 0.159
16200192 -0.0 0.165
16200960 0.0 0.162
16201728 0.0 0.118
16202496 -0.002 0.158
16203264 -0.0 0.155
16204032 -0.001 0.156
16204800 -0.0 0.161
16205568 0.001 0.147
16206336 -0.002 0.153
16207104 0.002 0.146
16207872 0.0 0.161
16208640 -0.001 0.154
16209408 -0.001 0.152
16210176 0.001 0.145
16210944 -0.001 0.165
16211712 0.003 0.161
16212480 -0.002 0.151
16213248 -0.0 0.155
16214016 0.0 0.158
16214784 -0.001 0.138
16215552 0.001 0.16
16216320 0.0 0.156
16217088 0.0 0.148
16217856 -0.0 0.151
16218624 0.0 0.168
16219392 -0.0 0.166
16220160 -0.001 0.143
16220928 0.002 0.164
16221696 0.0 0.162
16222464 0.0 0.164
16223232 0.001 0.156
16224000 -0.0 0.163
16224768 -0.0 0.151
16225536 0.001 0.156
16226304 -0.0 0.157
16227072 -0.001 0.162
16227840 -0.001 0.128
16228608 0.001 0.156
16229376 0.0 0.156
16230144 0.001 0.165
16230912 0.002 0.169
16231680 0.002 0.158
16232448 0.002 0.16
16233216 0.0 0.151
16233984 0.0 0.16
16234752 0.001 0.168
16235520 -0.0 0.155
16236288 -0.001 0.154
16237056 -0.0 0.157
16237824 -0.001 0.166
16238592 0.001 0.162
16239360 -0.001 0.167
16240128 0.001 0.153
16240896 -0.002 0.144
16241664 0.0 0.154
16242432 -0.001 0.162
16243200 -0.001 0.154
16243968 -0.001 0.157
16244736 -0.001 0.16
16245504 -0.0 0.129
16246272 -0.001 0.158
16247040 -0.002 0.146
16247808 0.0 0.156
16248576 0.002 0.16
16249344 0.0 0.141
16250112 0.0 0.15
16250880 -0.0 0.157
16251648 0.0 0.144
16252416 -0.001 0.154
16253184 -0.0 0.148
16253952 -0.002 0.157
16254720 -0.001 0.157
16255488 0.002 0.148
16256256 0.001 0.153
16257024 -0.001 0.156
16257792 -0.0 0.159
16258560 0.0 0.162
16259328 -0.0 0.156
16260096 -0.001 0.159
16260864 -0.001 0.159
16261632 0.001 0.161
16262400 -0.001 0.15
16263168 -0.001 0.152
16263936 -0.001 0.155
16264704 -0.0 0.128
16265472 -0.001 0.135
16266240 0.0 0.157
16267008 0.001 0.156
16267776 0.001 0.153
16268544 0.001 0.162
16269312 -0.001 0.159
16270080 -0.001 0.128
16270848 -0.001 0.158
16271616 0.001 0.14
16272384 0.001 0.15
16273152 -0.001 0.16
16273920 -0.001 0.157
16274688 0.0 0.159
16275456 0.001 0.153
16276224 -0.001 0.16
16276992 -0.001 0.149
16277760 -0.0 0.161
16278528 0.001 0.149
16279296 0.0 0.16
16280064 0.0 0.158
16280832 -0.001 0.156
16281600 -0.001 0.16
16282368 0.001 0.155
16283136 -0.001 0.147
16283904 -0.0 0.156
16284672 0.001 0.155
16285440 0.001 0.159
16286208 -0.0 0.15
16286976 -0.0 0.159
16287744 0.0 0.113
16288512 -0.001 0.161
16289280 0.001 0.156
16290048 -0.001 0.156
16290816 0.001 0.156
16291584 -0.001 0.159
16292352 0.001 0.143
16293120 -0.002 0.148
16293888 0.001 0.147
16294656 0.001 0.137
16295424 0.001 0.139
16296192 -0.001 0.144
16296960 0.001 0.156
16297728 -0.0 0.119
16298496 -0.001 0.128
16299264 -0.0 0.126
16300032 -0.0 0.143
16300800 -0.0 0.142
16301568 -0.002 0.166
16302336 -0.001 0.135
16303104 0.001 0.143
16303872 -0.0 0.145
16304640 0.002 0.153
16305408 -0.0 0.141
16306176 -0.0 0.152
16306944 -0.001 0.144
16307712 -0.0 0.144
16308480 0.0 0.143
16309248 -0.0 0.146
16310016 -0.0 0.147
16310784 -0.0 0.139
16311552 -0.0 0.14
16312320 -0.001 0.113
16313088 0.0 0.11
16313856 0.002 0.146
16314624 -0.001 0.142
16315392 -0.0 0.144
16316160 0.0 0.151
16316928 0.0 0.135
16317696 -0.001 0.136
16318464 0.001 0.146
16319232 0.001 0.145
16320000 -0.001 0.139
16320768 0.001 0.136
16321536 -0.0 0.145
16322304 0.0 0.15
16323072 0.001 0.146
16323840 -0.0 0.145
16324608 -0.002 0.139
16325376 0.001 0.143
16326144 0.001 0.121
16326912 0.001 0.142
16327680 -0.001 0.14
16328448 -0.0 0.148
16329216 -0.0 0.138
16329984 -0.001 0.144
16330752 0.0 0.144
16331520 -0.0 0.142
16332288 -0.0 0.141
16333056 0.0 0.14
16333824 -0.0 0.148
16334592 -0.002 0.135
16335360 -0.0 0.153
16336128 0.0 0.145
16336896 0.0 0.11
16337664 0.001 0.139
16338432 0.001 0.117
16339200 0.0 0.141
16339968 0.0 0.149
16340736 0.0 0.14
16341504 -0.001 0.147
16342272 -0.001 0.142
16343040 0.003 0.172
16343808 -0.004 0.167
16344576 0.0 0.155
16345344 0.001 0.165
16346112 -0.0 0.166
16346880 0.0 0.149
16347648 0.003 0.147
16348416 -0.0 0.167
16349184 -0.002 0.149
16349952 -0.002 0.151
16350720 -0.003 0.164
16351488 0.001 0.163
16352256 -0.001 0.155
16353024 0.001 0.141
16353792 0.002 0.153
16354560 0.001 0.171
16355328 0.0 0.166
16356096 0.002 0.174
16356864 -0.0 0.147
16357632 0.002 0.155
16358400 -0.001 0.171
16359168 -0.003 0.158
16359936 -0.0 0.15
16360704 -0.003 0.198
16361472 -0.002 0.173
16362240 -0.0 0.146
16363008 0.002 0.159
16363776 -0.0 0.15
16364544 0.001 0.168
16365312 0.003 0.161
16366080 -0.001 0.191
16366848 0.001 0.156
16367616 0.003 0.194
16368384 -0.001 0.138
16369152 -0.001 0.151
16369920 0.001 0.156
16370688 -0.003 0.157
16371456 0.0 0.131
16372224 0.003 0.181
16372992 -0.001 0.151
16373760 -0.001 0.157
16374528 0.0 0.153
16375296 -0.001 0.148
16376064 -0.003 0.151
16376832 0.001 0.148
16377600 0.0 0.177
16378368 -0.001 0.15
16379136 -0.0 0.157
16379904 0.002 0.155
16380672 -0.0 0.15
16381440 0.001 0.155
16382208 -0.003 0.157
16382976 0.003 0.145
16383744 -0.001 0.151
16384512 0.002 0.159
16385280 0.002 0.152
16386048 0.003 0.164
16386816 -0.001 0.154
16387584 -0.001 0.146
16388352 -0.0 0.16
16389120 0.0 0.158
16389888 0.003 0.175
16390656 0.002 0.123
16391424 -0.0 0.115
16392192 -0.0 0.12
16392960 0.0 0.113
16393728 0.0 0.116
16394496 -0.001 0.117
16395264 -0.001 0.11
16396032 -0.001 0.121
16396800 0.002 0.114
16397568 -0.002 0.108
16398336 0.0 0.112
16399104 -0.0 0.114
16399872 -0.0 0.119
16400640 -0.001 0.111
16401408 0.0 0.111
16402176 0.001 0.125
16402944 -0.001 0.124
16403712 0.0 0.115
16404480 0.001 0.112
16405248 0.001 0.121
16406016 -0.0 0.123
16406784 -0.002 0.119
16407552 -0.0 0.111
16408320 0.0 0.118
16409088 0.002 0.118
16409856 -0.0 0.111
16410624 -0.001 0.115
16411392 -0.001 0.113
16412160 -0.001 0.115
16412928 -0.0 0.12
16413696 -0.0 0.112
16414464 -0.0 0.118
16415232 -0.002 0.119
16416000 0.001 0.114
16416768 0.0 0.111
16417536 0.0 0.114
16418304 -0.001 0.122
16419072 -0.002 0.11
16419840 -0.001 0.113
16420608 0.001 0.126
16421376 -0.0 0.118
16422144 -0.002 0.11
16422912 -0.0 0.116
16423680 0.001 0.116
16424448 -0.002 0.117
16425216 -0.0 0.111
16425984 0.0 0.117
16426752 -0.0 0.11
16427520 -0.002 0.112
16428288 -0.0 0.107
16429056 0.0 0.114
16429824 -0.001 0.12
16430592 -0.0 0.11
16431360 0.0 0.117
16432128 0.001 0.113
16432896 0.001 0.12
16433664 -0.0 0.116
16434432 0.0 0.117
16435200 0.0 0.104
16435968 0.001 0.115
16436736 -0.001 0.119
16437504 0.0 0.113
16438272 -0.001 0.104
16439040 0.001 0.116
16439808 0.001 0.161
16440576 -0.0 0.174
16441344 -0.004 0.207
16442112 -0.001 0.175
16442880 0.001 0.163
16443648 -0.0 0.167
16444416 0.003 0.179
16445184 0.002 0.2
16445952 0.0 0.098
16446720 0.002 0.173
16447488 0.001 0.169
16448256 0.001 0.179
16449024 0.001 0.194
16449792 0.001 0.185
16450560 0.004 0.199
16451328 0.002 0.167
16452096 -0.001 0.173
16452864 0.003 0.225
16453632 0.003 0.168
16454400 -0.001 0.164
16455168 -0.001 0.176
16455936 0.002 0.171
16456704 -0.002 0.172
16457472 -0.002 0.213
16458240 -0.001 0.164
16459008 -0.0 0.163
16459776 0.0 0.17
16460544 -0.004 0.24
16461312 0.0 0.175
16462080 -0.002 0.174
16462848 0.001 0.164
16463616 -0.001 0.202
16464384 -0.001 0.168
16465152 -0.001 0.189
16465920 -0.001 0.167
16466688 0.002 0.204
16467456 -0.0 0.168
16468224 -0.004 0.188
16468992 -0.001 0.168
16469760 0.001 0.168
16470528 0.003 0.171
16471296 -0.001 0.164
16472064 -0.003 0.202
16472832 -0.001 0.161
16473600 -0.001 0.184
16474368 0.0 0.163
16475136 -0.0 0.153
16475904 0.002 0.201
16476672 -0.001 0.16
16477440 0.0 0.159
16478208 0.002 0.16
16478976 0.001 0.182
16479744 0.001 0.173
16480512 -0.001 0.169
16481280 -0.0 0.16
16482048 0.002 0.16
16482816 0.005 0.28
16483584 0.001 0.159
16484352 -0.001 0.165
16485120 0.0 0.162
16485888 -0.002 0.159
16486656 -0.001 0.161
16487424 -0.002 0.19
16488192 -0.0 0.17
16488960 0.001 0.113
16489728 -0.001 0.108
16490496 0.0 0.112
16491264 -0.001 0.113
16492032 0.001 0.117
16492800 -0.001 0.112
16493568 -0.001 0.115
16494336 0.002 0.114
16495104 -0.001 0.101
16495872 -0.0 0.11
16496640 -0.001 0.114
16497408 -0.001 0.113
16498176 -0.0 0.115
16498944 -0.001 0.109
16499712 -0.0 0.112
16500480 0.001 0.125
16501248 -0.0 0.117
16502016 0.001 0.114
16502784 0.001 0.114
16503552 -0.0 0.112
16504320 0.001 0.135
16505088 0.002 0.11
16505856 0.0 0.112
16506624 0.0 0.118
16507392 -0.002 0.11
16508160 -0.0 0.116
16508928 -0.0 0.116
16509696 0.001 0.122
16510464 -0.001 0.115
16511232 0.0 0.116
16512000 -0.001 0.116
16512768 0.001 0.11
16513536 0.0 0.113
16514304 0.0 0.109
16515072 -0.001 0.112
16515840 0.001 0.116
16516608 -0.001 0.117
16517376 0.0 0.118
16518144 0.001 0.11
16518912 0.0 0.114
16519680 -0.0 0.115
16520448 0.002 0.116
16521216 -0.002 0.123
16521984 -0.001 0.122
16522752 -0.0 0.109
16523520 0.0 0.122
16524288 0.001 0.114
16525056 0.0 0.132
16525824 -0.0 0.125
16526592 -0.001 0.113
16527360 -0.0 0.11
16528128 -0.001 0.105
16528896 0.0 0.12
16529664 -0.001 0.111
16530432 -0.001 0.124
16531200 -0.001 0.123
16531968 0.001 0.113
16532736 -0.0 0.113
16533504 0.001 0.117
16534272 0.001 0.121
16535040 -0.0 0.114
16535808 -0.002 0.116
16536576 0.001 0.107
16537344 -0.0 0.114
16538112 0.019 0.055
16538880 0.378 0.056
16539648 0.021 0.045
16540416 0.29 0.051
16541184 -0.077 0.094
16541952 -0.077 0.091
16542720 -0.074 0.091
16543488 -0.079 0.088
16544256 0.004 0.125
16545024 0.02 0.133
16545792 -0.002 0.131
16546560 0.012 0.127
16547328 -0.009 0.129
16548096 -0.003 0.134
16548864 0.001 0.129
16549632 -0.005 0.123
16550400 0.022 0.123
16551168 0.023 0.121
16551936 0.029 0.127
16552704 0.018 0.12
16553472 -0.013 0.128
16554240 -0.016 0.13
16555008 -0.02 0.125
16555776 -0.022 0.125
16556544 -0.011 0.129
16557312 -0.014 0.136
16558080 -0.016 0.128
16558848 -0.017 0.122
16559616 0.007 0.125
16560384 0.003 0.131
16561152 0.019 0.126
16561920 0.017 0.124
16562688 -0.056 0.102
16563456 -0.056 0.111
16564224 -0.055 0.114
16564992 -0.049 0.105
16565760 -0.016 0.13
16566528 -0.008 0.129
16567296 -0.016 0.128
16568064 -0.003 0.127
16568832 -0.005 0.125
16569600 -0.018 0.13
16570368 -0.004 0.129
16571136 -0.014 0.13
16571904 0.002 0.129
16572672 -0.002 0.131
16573440 -0.006 0.125
16574208 -0.009 0.132
16574976 0.006 0.127
16575744 0.008 0.128
16576512 0.016 0.129
16577280 0.015 0.129
16578048 -0.022 0.127
16578816 -0.016 0.13
16579584 -0.023 0.128
16580352 -0.017 0.128
16581120 -0.006 0.13
16581888 -0.016 0.129
16582656 -0.018 0.129
16583424 -0.007 0.128
16584192 -0.013 0.126
16584960 -0.011 0.131
16585728 -0.015 0.125
16586496 -0.01 0.133
16587264 0.022 0.125
16588032 0.027 0.127
16588800 0.024 0.126
16589568 0.027 0.126
16590336 -0.014 0.126
16591104 -0.022 0.121
16591872 -0.014 0.125
16592640 -0.026 0.126
16593408 0.012 0.132
16594176 0.007 0.124
16594944 0.013 0.129
16595712 0.008 0.13
16596480 -0.001 0.127
16597248 0.001 0.127
16598016 -0.007 0.129
16598784 -0.01 0.131
16599552 -0.027 0.127
16600320 -0.024 0.122
16601088 -0.026 0.125
16601856 -0.03 0.125
16602624 0.011 0.127
16603392 0.018 0.126
16604160 0.004 0.122
16604928 0.015 0.12
16605696 -0.003 0.128
16606464 0.003 0.127
16607232 -0.001 0.129
16608000 -0.002 0.129
16608768 0.028 0.127
16609536 0.008 0.129
16610304 0.003 0.128
16611072 0.016 0.131
16611840 -0.007 0.126
16612608 -0.017 0.125
16613376 -0.006 0.128
16614144 -0.006 0.128
16614912 -0.001 0.125
16615680 0.002 0.129
16616448 0.001 0.128
16617216 0.004 0.132
16617984 0.014 0.131
16618752 0.005 0.127
16619520 0.011 0.127
16620288 0.005 0.124
16621056 -0.01 0.127
16621824 -0.012 0.128
16622592 -0.01 0.124
16623360 -0.014 0.135
16624128 -0.008 0.126
16624896 -0.011 0.131
16625664 -0.007 0.132
16626432 -0.009 0.128
16627200 -0.017 0.122
16627968 -0.02 0.129
16628736 -0.023 0.129
16629504 -0.017 0.128
16630272 -0.009 0.128
16631040 0.004 0.133
16631808 -0.007 0.126
16632576 -0.004 0.13
16633344 -0.007 0.132
16634112 -0.011 0.129
16634880 0.002 0.129
16635648 -0.002 0.125
16636416 -0.031 0.124
16637184 -0.027 0.124
16637952 -0.028 0.124
16638720 -0.026 0.123
16639488 -0.017 0.128
16640256 -0.025 0.133
16641024 -0.021 0.13
16641792 -0.023 0.124
16642560 -0.021 0.127
16643328 -0.027 0.123
16644096 -0.023 0.123
16644864 -0.02 0.125
16645632 -0.0 0.127
16646400 -0.009 0.125
16647168 -0.01 0.126
16647936 -0.003 0.127
16648704 0.013 0.126
16649472 0.014 0.134
16650240 0.016 0.127
16651008 0.022 0.123
16651776 0.028 0.12
16652544 0.032 0.124
16653312 0.032 0.121
16654080 0.04 0.117
16654848 -0.035 0.121
16655616 -0.039 0.112
16656384 -0.035 0.113
16657152 -0.041 0.118
16657920 -0.0 0.129
16658688 -0.007 0.133
16659456 0.004 0.129
16660224 -0.007 0.13
16660992 0.002 0.134
16661760 -0.002 0.132
16662528 -0.001 0.125
16663296 -0.003 0.127
16664064 -0.012 0.122
16664832 -0.004 0.131
16665600 -0.005 0.125
16666368 -0.004 0.132
16667136 -0.019 0.127
16667904 -0.016 0.125
16668672 -0.018 0.125
16669440 -0.019 0.131
16670208 -0.019 0.125
16670976 -0.013 0.132
16671744 -0.015 0.129
16672512 -0.02 0.126
16673280 -0.017 0.129
16674048 -0.024 0.124
16674816 -0.012 0.127
16675584 -0.023 0.129
16676352 -0.0 0.127
16677120 -0.007 0.127
16677888 -0.008 0.133
16678656 -0.006 0.125
16679424 0.014 0.126
16680192 -0.001 0.135
16680960 0.008 0.124
16681728 0.017 0.123
16682496 0.017 0.126
16683264 0.013 0.128
16684032 0.007 0.127
16684800 0.015 0.131
16685568 -0.019 0.125
16686336 -0.009 0.131
16687104 -0.008 0.125
16687872 -0.012 0.131
16688640 -0.023 0.12
16689408 -0.027 0.129
16690176 -0.019 0.127
16690944 -0.027 0.124
16691712 -0.001 0.13
16692480 -0.01 0.128
16693248 -0.01 0.129
16694016 -0.005 0.128
16694784 0.002 0.122
16695552 0.0 0.12
16696320 -0.009 0.129
16697088 -0.009 0.129
16697856 -0.032 0.124
16698624 -0.022 0.128
16699392 -0.027 0.121
16700160 -0.027 0.126
16700928 -0.029 0.126
16701696 -0.02 0.124
16702464 -0.029 0.117
16703232 -0.021 0.122
16704000 -0.006 0.135
16704768 -0.01 0.133
16705536 -0.005 0.123
16706304 0.002 0.126
16707072 -0.035 0.124
16707840 -0.037 0.121
16708608 -0.036 0.123
16709376 -0.04 0.121
16710144 -0.02 0.126
16710912 -0.02 0.127
16711680 -0.017 0.129
16712448 -0.022 0.127
16713216 -0.035 0.12
16713984 -0.028 0.121
16714752 -0.027 0.118
16715520 -0.031 0.128
16716288 -0.003 0.133
16717056 -0.01 0.124
16717824 -0.008 0.131
16718592 -0.005 0.129
16719360 0.003 0.127
16720128 0.005 0.132
16720896 0.007 0.125
16721664 0.005 0.126
16722432 0.011 0.132
16723200 0.006 0.133
16723968 0.006 0.123
16724736 0.013 0.13
16725504 0.01 0.123
16726272 0.008 0.127
16727040 0.007 0.129
16727808 0.005 0.132
16728576 -0.02 0.127
16729344 -0.015 0.128
16730112 -0.019 0.131
16730880 -0.018 0.125
16731648 0.0 0.127
16732416 -0.01 0.131
16733184 -0.002 0.131
16733952 -0.0 0.129
16734720 -0.006 0.128
16735488 -0.018 0.125
16736256 -0.005 0.128
16737024 -0.004 0.131
16737792 0.007 0.127
16738560 0.007 0.126
16739328 0.005 0.133
16740096 0.007 0.124
16740864 0.079 0.052
16741632 0.083 0.076
16742400 0.087 0.051
16743168 0.084 0.046
16743936 -0.012 0.132
16744704 -0.012 0.131
16745472 -0.015 0.122
16746240 -0.016 0.118
16747008 -0.007 0.125
16747776 -0.012 0.13
16748544 0.003 0.134
16749312 -0.009 0.126
16750080 -0.026 0.124
16750848 -0.028 0.12
16751616 -0.03 0.122
16752384 -0.033 0.125
16753152 0.012 0.126
16753920 0.005 0.117
16754688 0.01 0.128
16755456 0.009 0.119
16756224 -0.001 0.128
16756992 0.0 0.128
16757760 0.003 0.125
16758528 -0.004 0.127
16759296 -0.02 0.125
16760064 -0.022 0.134
16760832 -0.016 0.125
16761600 -0.013 0.123
16762368 0.005 0.134
16763136 0.003 0.129
16763904 0.005 0.13
16764672 0.002 0.124
16765440 -0.01 0.122
16766208 -0.0 0.131
16766976 -0.001 0.134
16767744 -0.0 0.128
16768512 0.019 0.122
16769280 0.014 0.128
16770048 0.009 0.13
16770816 0.011 0.129
16771584 0.005 0.129
16772352 0.005 0.129
16773120 -0.001 0.126
16773888 -0.004 0.131
16774656 0.016 0.13
16775424 0.018 0.128
16776192 0.007 0.128
16776960 0.01 0.123
16777728 -0.015 0.127
16778496 -0.009 0.132
16779264 -0.012 0.129
16780032 -0.005 0.127
16780800 0.045 0.118
16781568 0.05 0.118
16782336 0.037 0.115
16783104 0.045 0.121
16783872 -0.014 0.132
16784640 -0.0 0.13
16785408 -0.0 0.127
16786176 -0.012 0.129
16786944 0.021 0.121
16787712 0.023 0.131
16788480 0.027 0.125
16789248 0.023 0.124
16790016 0.02 0.126
16790784 0.012 0.126
16791552 0.022 0.121
16792320 0.016 0.128
16793088 -0.011 0.129
16793856 -0.009 0.128
16794624 -0.009 0.131
16795392 -0.021 0.123
16796160 0.004 0.131
16796928 0.016 0.13
16797696 0.007 0.129
16798464 -0.002 0.126
16799232 0.007 0.123
16800000 0.014 0.129
16800768 0.015 0.129
16801536 0.008 0.128
16802304 0.026 0.12
16803072 0.026 0.124
16803840 0.019 0.123
16804608 0.032 0.113
16805376 -0.027 0.126
16806144 -0.018 0.123
16806912 -0.027 0.128
16807680 -0.026 0.123
16808448 -0.009 0.124
16809216 -0.011 0.126
16809984 -0.011 0.125
16810752 -0.017 0.126
16811520 -0.034 0.104
16812288 -0.042 0.104
16813056 -0.039 0.104
16813824 -0.035 0.093
16814592 0.017 0.131
16815360 0.015 0.129
16816128 0.016 0.127
16816896 0.022 0.122
16817664 -0.005 0.13
16818432 -0.008 0.123
16819200 -0.007 0.128
16819968 -0.004 0.13
16820736 -0.009 0.128
16821504 -0.009 0.127
16822272 -0.01 0.121
16823040 -0.009 0.131
16823808 0.002 0.129
16824576 -0.004 0.13
16825344 -0.013 0.128
16826112 -0.002 0.127
16826880 0.0 0.129
16827648 0.008 0.127
16828416 0.016 0.128
16829184 0.007 0.13
16829952 -0.012 0.131
16830720 -0.012 0.125
16831488 -0.009 0.127
16832256 -0.004 0.126
16833024 0.003 0.131
16833792 0.017 0.125
16834560 0.007 0.131
16835328 0.016 0.128
16836096 -0.001 0.122
16836864 -0.007 0.126
16837632 -0.005 0.132
16838400 -0.011 0.132
16839168 -0.004 0.127
16839936 -0.006 0.129
16840704 -0.002 0.132
16841472 -0.001 0.124
16842240 -0.002 0.123
16843008 0.009 0.134
16843776 0.008 0.132
16844544 0.002 0.129
16845312 0.009 0.13
16846080 0.007 0.129
16846848 0.003 0.127
16847616 0.003 0.133
16848384 0.027 0.124
16849152 0.031 0.119
16849920 0.024 0.123
16850688 0.028 0.121
16851456 0.0 0.13
16852224 -0.005 0.131
16852992 -0.001 0.128
16853760 -0.004 0.129
16854528 0.001 0.13
16855296 -0.008 0.13
16856064 -0.007 0.128
16856832 -0.009 0.131
16857600 -0.038 0.113
16858368 -0.045 0.122
16859136 -0.031 0.124
16859904 -0.031 0.116
16860672 -0.031 0.12
16861440 -0.024 0.129
16862208 -0.03 0.127
16862976 -0.027 0.123
16863744 0.008 0.129
16864512 0.002 0.132
16865280 0.007 0.131
16866048 0.009 0.128
16866816 -0.0 0.126
16867584 0.005 0.132
16868352 0.001 0.129
16869120 0.002 0.128
16869888 -0.016 0.128
16870656 -0.013 0.126
16871424 -0.016 0.128
16872192 -0.014 0.129
16872960 -0.038 0.122
16873728 -0.04 0.122
16874496 -0.033 0.12
16875264 -0.031 0.116
16876032 0.003 0.125
16876800 0.008 0.128
16877568 0.016 0.127
16878336 0.006 0.132
16879104 -0.021 0.133
16879872 -0.025 0.121
16880640 -0.012 0.125
16881408 -0.022 0.124
16882176 -0.011 0.126
16882944 -0.004 0.132
16883712 -0.015 0.126
16884480 -0.006 0.131
16885248 -0.011 0.13
16886016 -0.008 0.132
16886784 0.002 0.128
16887552 0.007 0.124
16888320 -0.014 0.132
16889088 -0.002 0.125
16889856 -0.012 0.128
16890624 -0.014 0.129
16891392 -0.002 0.128
16892160 -0.0 0.126
16892928 -0.012 0.131
16893696 -0.003 0.135
16894464 -0.004 0.132
16895232 0.003 0.131
16896000 -0.005 0.124
16896768 -0.005 0.13
16897536 -0.021 0.124
16898304 -0.015 0.131
16899072 -0.02 0.123
16899840 -0.022 0.127
16900608 0.024 0.123
16901376 0.013 0.127
16902144 0.018 0.122
16902912 0.012 0.121
16903680 -0.009 0.129
16904448 -0.005 0.126
16905216 -0.009 0.134
16905984 -0.019 0.129
16906752 -0.01 0.13
16907520 -0.002 0.124
16908288 -0.008 0.127
16909056 0.002 0.133
16909824 0.022 0.128
16910592 0.018 0.121
16911360 0.021 0.127
16912128 0.018 0.128
16912896 -0.019 0.125
16913664 -0.012 0.128
16914432 -0.016 0.124
16915200 -0.021 0.127
16915968 -0.01 0.129
16916736 -0.007 0.131
16917504 -0.015 0.124
16918272 -0.015 0.128
16919040 0.003 0.128
16919808 0.002 0.131
16920576 0.002 0.128
16921344 -0.009 0.131
16922112 -0.028 0.122
16922880 -0.021 0.125
16923648 -0.026 0.125
16924416 -0.022 0.122
16925184 -0.038 0.12
16925952 -0.036 0.122
16926720 -0.037 0.118
16927488 -0.036 0.114
16928256 -0.003 0.133
16929024 -0.013 0.128
16929792 -0.005 0.123
16930560 -0.005 0.127
16931328 0.001 0.125
16932096 0.003 0.132
16932864 0.001 0.13
16933632 0.001 0.131
16934400 0.014 0.122
16935168 0.011 0.127
16935936 0.017 0.12
16936704 0.016 0.131
16937472 0.017 0.123
16938240 0.014 0.119
16939008 0.024 0.126
16939776 0.017 0.127
16940544 -0.01 0.133
16941312 -0.011 0.127
16942080 -0.018 0.126
16942848 -0.018 0.128
16943616 0.008 0.131
16944384 0.008 0.125
16945152 0.014 0.127
16945920 0.009 0.126
16946688 -0.018 0.127
16947456 -0.015 0.128
16948224 -0.017 0.124
16948992 -0.022 0.128
16949760 -0.006 0.13
16950528 -0.006 0.128
16951296 -0.0 0.128
16952064 -0.005 0.129
16952832 -0.008 0.132
16953600 -0.005 0.125
16954368 -0.002 0.123
16955136 0.0 0.13
16955904 -0.033 0.122
16956672 -0.033 0.125
16957440 -0.028 0.127
16958208 -0.031 0.122
16958976 -0.01 0.126
16959744 -0.01 0.131
16960512 -0.012 0.132
16961280 -0.022 0.126
16962048 -0.01 0.129
16962816 -0.007 0.129
16963584 -0.005 0.13
16964352 -0.005 0.127
16965120 -0.008 0.126
16965888 -0.006 0.133
16966656 -0.005 0.124
16967424 -0.007 0.132
16968192 -0.079 0.118
16968960 -0.083 0.131
16969728 -0.085 0.115
16970496 -0.079 0.115
16971264 -0.011 0.122
16972032 -0.018 0.119
16972800 -0.011 0.124
16973568 -0.023 0.127
16974336 -0.014 0.126
16975104 -0.013 0.126
16975872 -0.008 0.13
16976640 -0.004 0.132
16977408 -0.034 0.125
16978176 -0.02 0.125
16978944 -0.025 0.125
16979712 -0.025 0.126
16980480 0.031 0.124
16981248 0.031 0.123
16982016 0.031 0.127
16982784 0.029 0.121
16983552 0.011 0.131
16984320 0.002 0.13
16985088 0.015 0.123
16985856 0.008 0.124
16986624 0.012 0.127
16987392 0.015 0.129
16988160 0.007 0.123
16988928 0.016 0.13
16989696 -0.028 0.119
16990464 -0.03 0.124
16991232 -0.022 0.122
16992000 -0.03 0.125
16992768 -0.013 0.13
16993536 -0.019 0.124
16994304 -0.0 0.127
16995072 -0.011 0.128
16995840 -0.008 0.129
16996608 -0.016 0.133
16997376 -0.019 0.123
16998144 -0.016 0.129
16998912 0.008 0.129
16999680 -0.0 0.13
17000448 0.004 0.131
17001216 0.012 0.128
17001984 0.015 0.129
17002752 0.018 0.127
17003520 0.018 0.121
17004288 0.019 0.128
17005056 0.029 0.126
17005824 0.026 0.125
17006592 0.023 0.121
17007360 0.029 0.124
17008128 -0.022 0.121
17008896 -0.024 0.128
17009664 -0.022 0.124
17010432 -0.026 0.128
17011200 -0.027 0.126
17011968 -0.03 0.126
17012736 -0.022 0.126
17013504 -0.03 0.122
17014272 -0.007 0.128
17015040 -0.011 0.128
17015808 -0.016 0.128
17016576 -0.016 0.124
17017344 -0.022 0.124
17018112 -0.025 0.121
17018880 -0.019 0.123
17019648 -0.019 0.131
17020416 -0.022 0.129
17021184 -0.011 0.13
17021952 -0.013 0.128
17022720 -0.013 0.124
17023488 -0.02 0.128
17024256 -0.022 0.123
17025024 -0.019 0.126
17025792 -0.021 0.126
17026560 0.039 0.125
17027328 0.033 0.124
17028096 0.04 0.123
17028864 0.037 0.12
17029632 -0.02 0.123
17030400 -0.03 0.127
17031168 -0.027 0.121
17031936 -0.028 0.127
17032704 -0.027 0.124
17033472 -0.021 0.121
17034240 -0.029 0.125
17035008 -0.024 0.123
17035776 -0.044 0.113
17036544 -0.043 0.113
17037312 -0.043 0.111
17038080 -0.053 0.119
17038848 -0.009 0.127
17039616 0.0 0.132
17040384 -0.008 0.127
17041152 -0.005 0.132
17041920 0.019 0.129
17042688 0.02 0.127
17043456 0.019 0.128
17044224 0.014 0.126
17044992 -0.001 0.127
