task_id,attempt_number,run_id,start_time,end_time,verifier_outcome,reward,scoreable,classification,retry_of,trace_path,incident_ref,notes
prove-plus-comm,1,prove-plus-comm__39R8hkN,2026-08-27T07:17:14.352838Z,2026-08-27T07:23:10.124106Z,completed,1.0,True,pass,,traces/prove-plus-comm__39R8hkN,,
prove-plus-comm,2,prove-plus-comm__ZD9YVdT,2026-08-29T05:52:40.384560Z,2026-08-29T05:56:00.800619Z,completed,1.0,True,pass,prove-plus-comm__39R8hkN,traces/prove-plus-comm__ZD9YVdT,,
pypi-server,1,pypi-server__NMRXbGT,2026-08-25T21:13:55.790654Z,2026-08-25T21:18:31.535274Z,completed,0.0,True,model_fail,,traces/pypi-server__NMRXbGT,,
pypi-server,2,pypi-server__BKYSqXK,2026-08-27T17:12:08.816466Z,2026-08-27T17:15:46.755609Z,completed,0.0,True,model_fail,pypi-server__NMRXbGT,traces/pypi-server__BKYSqXK,,
pytorch-model-cli,1,pytorch-model-cli__N6tGeab,2026-08-27T00:55:45.921299Z,2026-08-27T01:19:28.538655Z,completed,0.0,True,model_fail,,traces/pytorch-model-cli__N6tGeab,,
pytorch-model-cli,2,pytorch-model-cli__2qQjyAg,2026-08-28T23:52:34.255653Z,2026-08-29T00:05:17.640347Z,completed,0.0,True,model_fail,pytorch-model-cli__N6tGeab,traces/pytorch-model-cli__2qQjyAg,,
pytorch-model-recovery,1,pytorch-model-recovery__ghVXMSB,2026-08-26T04:54:17.211193Z,2026-08-26T05:24:26.396360Z,completed,1.0,True,pass,,traces/pytorch-model-recovery__ghVXMSB,,
pytorch-model-recovery,2,pytorch-model-recovery__pdhfiSV,2026-08-28T01:10:57.061983Z,2026-08-28T01:23:27.357644Z,completed,1.0,True,pass,pytorch-model-recovery__ghVXMSB,traces/pytorch-model-recovery__pdhfiSV,,
qemu-alpine-ssh,1,qemu-alpine-ssh__ZbEK9tC,2026-08-25T22:10:08.253777Z,2026-08-25T22:49:52.122996Z,completed,0.0,True,model_fail,,traces/qemu-alpine-ssh__ZbEK9tC,,
qemu-alpine-ssh,2,qemu-alpine-ssh__bZHEZYM,2026-08-27T19:06:09.128094Z,2026-08-27T19:28:44.935762Z,completed,0.0,True,model_fail,qemu-alpine-ssh__ZbEK9tC,traces/qemu-alpine-ssh__bZHEZYM,,
qemu-startup,1,qemu-startup__Dn4SbsT,2026-08-26T20:00:58.865954Z,2026-08-26T20:21:10.087012Z,completed,1.0,True,pass,,traces/qemu-startup__Dn4SbsT,,
qemu-startup,2,qemu-startup__an9fmib,2026-08-28T15:47:33.015973Z,2026-08-28T16:33:41.602605Z,completed,0.0,True,model_fail,qemu-startup__Dn4SbsT,traces/qemu-startup__an9fmib,,
query-optimize,1,query-optimize__sdRwMeW,2026-08-26T22:53:07.854582Z,2026-08-26T23:10:18.505126Z,completed,1.0,True,pass,,traces/query-optimize__sdRwMeW,,
query-optimize,2,query-optimize__i8xFhEf,2026-08-28T19:12:43.286528Z,2026-08-28T19:37:00.414112Z,completed,1.0,True,pass,query-optimize__sdRwMeW,traces/query-optimize__i8xFhEf,,
raman-fitting,1,raman-fitting__waYHvQN,2026-08-26T17:36:27.942568Z,2026-08-26T18:28:29.128183Z,completed,0.0,True,model_fail,,traces/raman-fitting__waYHvQN,,
raman-fitting,2,raman-fitting__bKqGG6r,2026-08-28T13:31:30.011718Z,2026-08-28T14:19:30.572102Z,completed,0.0,True,model_fail,raman-fitting__waYHvQN,traces/raman-fitting__bKqGG6r,,
regex-chess,1,regex-chess__V2Jh4Dk,2026-08-25T22:55:08.172097Z,2026-08-26T00:36:52.688055Z,completed,1.0,True,pass,,traces/regex-chess__V2Jh4Dk,,
regex-chess,2,regex-chess__inCsGQ7,2026-08-27T19:34:16.226467Z,2026-08-27T21:34:42.465362Z,completed,1.0,True,pass,regex-chess__V2Jh4Dk,traces/regex-chess__inCsGQ7,,
regex-log,1,regex-log__EwsAQHm,2026-08-26T02:36:10.047968Z,2026-08-26T02:56:46.084408Z,completed,1.0,True,pass,,traces/regex-log__EwsAQHm,,
regex-log,2,regex-log__3yiSoQm,2026-08-27T22:51:31.556832Z,2026-08-27T23:15:46.095555Z,completed,1.0,True,pass,regex-log__EwsAQHm,traces/regex-log__3yiSoQm,,
reshard-c4-data,1,reshard-c4-data__Q9sonVh,2026-08-26T20:24:53.773860Z,2026-08-26T20:56:36.956995Z,completed,1.0,True,pass,,traces/reshard-c4-data__Q9sonVh,,
reshard-c4-data,2,reshard-c4-data__uKx7a6h,2026-08-28T16:38:45.687323Z,2026-08-28T17:04:14.566489Z,completed,1.0,True,pass,reshard-c4-data__Q9sonVh,traces/reshard-c4-data__uKx7a6h,,
rstan-to-pystan,1,rstan-to-pystan__LfsKxzB,2026-08-26T21:15:44.122724Z,2026-08-26T21:47:12.214139Z,completed,1.0,True,pass,,traces/rstan-to-pystan__LfsKxzB,,
rstan-to-pystan,2,rstan-to-pystan__vDYYHAr,2026-08-28T17:16:26.324543Z,2026-08-28T17:49:01.182519Z,completed,1.0,True,pass,rstan-to-pystan__LfsKxzB,traces/rstan-to-pystan__vDYYHAr,,
sam-cell-seg,1,sam-cell-seg__8tQC4VC,2026-08-26T08:51:04.527022Z,2026-08-26T09:57:15.943387Z,completed,1.0,True,pass,,traces/sam-cell-seg__8tQC4VC,,
sam-cell-seg,2,sam-cell-seg__sDRQQXQ,2026-08-28T05:43:43.693614Z,2026-08-28T06:12:41.055078Z,completed,1.0,True,pass,sam-cell-seg__8tQC4VC,traces/sam-cell-seg__sDRQQXQ,,
sanitize-git-repo,1,sanitize-git-repo__UTYyFnh,2026-08-26T19:52:33.176947Z,2026-08-26T20:00:58.693768Z,completed,1.0,True,pass,,traces/sanitize-git-repo__UTYyFnh,,
sanitize-git-repo,2,sanitize-git-repo__6a2Lt9v,2026-08-28T15:37:17.065023Z,2026-08-28T15:47:32.869485Z,completed,1.0,True,pass,sanitize-git-repo__UTYyFnh,traces/sanitize-git-repo__6a2Lt9v,,
schemelike-metacircular-eval,1,schemelike-metacircular-eval__UWztxhx,2026-08-25T20:16:30.552501Z,2026-08-25T21:09:42.671455Z,completed,1.0,True,pass,,traces/schemelike-metacircular-eval__UWztxhx,,
schemelike-metacircular-eval,2,schemelike-metacircular-eval__PNPvLUo,2026-08-27T16:28:45.887062Z,2026-08-27T17:09:21.283472Z,completed,1.0,True,pass,schemelike-metacircular-eval__UWztxhx,traces/schemelike-metacircular-eval__PNPvLUo,,
sparql-university,1,sparql-university__9VwHrkt,2026-08-27T09:52:31.078008Z,2026-08-27T10:16:08.765790Z,completed,1.0,True,pass,,traces/sparql-university__9VwHrkt,,
sparql-university,2,sparql-university__tMpasWq,2026-08-29T07:38:22.301598Z,2026-08-29T07:45:47.855425Z,completed,1.0,True,pass,sparql-university__9VwHrkt,traces/sparql-university__tMpasWq,,
sqlite-db-truncate,1,sqlite-db-truncate__vNJqBGS,2026-08-26T22:41:32.205220Z,2026-08-26T22:53:07.672582Z,completed,1.0,True,pass,,traces/sqlite-db-truncate__vNJqBGS,,
sqlite-db-truncate,2,sqlite-db-truncate__mNHUkzk,2026-08-28T18:45:07.008464Z,2026-08-28T19:12:42.944944Z,completed,1.0,True,pass,sqlite-db-truncate__vNJqBGS,traces/sqlite-db-truncate__mNHUkzk,,
sqlite-with-gcov,1,sqlite-with-gcov__jQcieD6,2026-08-27T07:44:53.224772Z,2026-08-27T07:51:45.594119Z,completed,1.0,True,pass,,traces/sqlite-with-gcov__jQcieD6,,
sqlite-with-gcov,2,sqlite-with-gcov__KhQakR4,2026-08-29T06:20:18.047390Z,2026-08-29T06:25:30.683895Z,completed,1.0,True,pass,sqlite-with-gcov__jQcieD6,traces/sqlite-with-gcov__KhQakR4,,
torch-pipeline-parallelism,1,torch-pipeline-parallelism__Gzyj4D2,2026-08-25T22:09:49.171087Z,2026-08-25T22:10:07.984619Z,missing_or_crashed,,False,infra_invalid,,traces/torch-pipeline-parallelism__Gzyj4D2,incidents.jsonl:torch-pipeline-parallelism:torch-pipeline-parallelism__Gzyj4D2,missing trajectory; verifier incomplete
torch-pipeline-parallelism,2,torch-pipeline-parallelism__piR2RR6,2026-08-27T18:14:20.625721Z,2026-08-27T19:06:08.752041Z,completed,0.0,True,model_fail,torch-pipeline-parallelism__Gzyj4D2,traces/torch-pipeline-parallelism__piR2RR6,,
torch-pipeline-parallelism,3,torch-pipeline-parallelism__bSYyUjB,2026-08-29T13:48:42.332840Z,2026-08-29T14:16:01.827623Z,completed,0.0,True,model_fail,torch-pipeline-parallelism__piR2RR6,traces/torch-pipeline-parallelism__bSYyUjB,,
torch-tensor-parallelism,1,torch-tensor-parallelism__rBMHSvS,2026-08-25T19:48:18.729391Z,2026-08-25T20:16:30.201536Z,completed,1.0,True,pass,,traces/torch-tensor-parallelism__rBMHSvS,,
torch-tensor-parallelism,2,torch-tensor-parallelism__3suYgMb,2026-08-27T15:40:09.513393Z,2026-08-27T16:28:45.502295Z,completed,1.0,True,pass,torch-tensor-parallelism__rBMHSvS,traces/torch-tensor-parallelism__3suYgMb,,
train-fasttext,1,train-fasttext__MEqAmwE,2026-08-26T12:46:44.467344Z,2026-08-26T15:21:28.662376Z,completed,0.0,True,model_fail,,traces/train-fasttext__MEqAmwE,,
train-fasttext,2,train-fasttext__FaLZ82B,2026-08-28T08:38:38.331776Z,2026-08-28T11:29:42.593538Z,completed,0.0,True,model_fail,train-fasttext__MEqAmwE,traces/train-fasttext__FaLZ82B,,
tune-mjcf,1,tune-mjcf__ZzM6hqA,2026-08-27T14:48:22.697313Z,2026-08-27T15:03:54.851542Z,completed,1.0,True,pass,,traces/tune-mjcf__ZzM6hqA,,
tune-mjcf,2,tune-mjcf__jJy6Wsm,2026-08-29T12:02:17.808533Z,2026-08-29T12:15:12.314080Z,completed,1.0,True,pass,tune-mjcf__ZzM6hqA,traces/tune-mjcf__jJy6Wsm,,
video-processing,1,video-processing__pFw8VKU,2026-08-26T19:05:37.567746Z,2026-08-26T19:52:32.938037Z,completed,0.0,True,model_fail,,traces/video-processing__pFw8VKU,,
video-processing,2,video-processing__TC7MJof,2026-08-28T14:42:14.072951Z,2026-08-28T15:37:16.918980Z,completed,0.0,True,model_fail,video-processing__pFw8VKU,traces/video-processing__TC7MJof,,
vulnerable-secret,1,vulnerable-secret__fV4vBuS,2026-08-26T10:52:59.362242Z,2026-08-26T10:56:48.169991Z,completed,1.0,True,pass,,traces/vulnerable-secret__fV4vBuS,,
vulnerable-secret,2,vulnerable-secret__YFXuW7H,2026-08-28T06:57:40.841048Z,2026-08-28T07:01:59.920956Z,completed,1.0,True,pass,vulnerable-secret__fV4vBuS,traces/vulnerable-secret__YFXuW7H,,
winning-avg-corewars,1,winning-avg-corewars__MNjQ2xk,2026-08-27T11:48:32.765266Z,2026-08-27T12:07:10.325423Z,completed,1.0,True,pass,,traces/winning-avg-corewars__MNjQ2xk,,
winning-avg-corewars,2,winning-avg-corewars__mUqQNoE,2026-08-29T08:56:10.502509Z,2026-08-29T09:15:33.767607Z,completed,1.0,True,pass,winning-avg-corewars__MNjQ2xk,traces/winning-avg-corewars__mUqQNoE,,
write-compressor,1,write-compressor__6uau3oz,2026-08-25T19:21:42.820983Z,2026-08-25T19:48:18.476929Z,completed,1.0,True,pass,,traces/write-compressor__6uau3oz,,
write-compressor,2,write-compressor__JjjHxy4,2026-08-27T15:21:39.940669Z,2026-08-27T15:40:09.360604Z,completed,1.0,True,pass,write-compressor__6uau3oz,traces/write-compressor__JjjHxy4,,
